Incident_ID,Date_Reported,LGA,Community,Company,Cause,Volume_Spilled_Bbls,Status,Date_Remediated,Turnaround_Days
SPILL-0038,2023-04-24,Emuoha,Community7,NDPR,Corrosion,81.96,Closed,2023-05-03,9.0
SPILL-0039,2023-04-27,Khana,Community41,SPDC,Operational Error,2.86,In-Progress,,
SPILL-0040,2023-04-30,Etche,Community33,ExxonMobil,Sabotage,92.36,Closed,2023-06-22,53.0
SPILL-0041,2023-05-03,Opobo/Nkoro,Community40,NDPR,Sabotage,2.65,Remediated,2023-05-10,7.0
SPILL-0042,2023-05-06,Khana,Community39,SPDC,Sabotage,0.92,Closed,2023-06-24,49.0
SPILL-0043,2023-05-09,Ogba/Egbema/Ndoni,Community18,NAOC,Corrosion,59.69,Closed,2023-05-27,18.0
SPILL-0044,2023-05-12,Eleme,Community40,NAOC,Corrosion,294.91,Closed,2023-06-15,34.0
SPILL-0045,2023-05-15,Akuku-Toru,Community1,SPDC,Sabotage,113.46,Closed,2023-07-26,72.0
SPILL-0046,2023-05-18,Ogba/Egbema/Ndoni,Community11,NAOC,Equipment Failure,42.9,Remediated,2023-06-09,22.0
SPILL-0047,2023-05-21,Opobo/Nkoro,Community28,SPDC,Sabotage,124.68,Remediated,2023-07-26,66.0
SPILL-0048,2023-05-24,Etche,Community25,NDPR,Sabotage,0.27,In-Progress,,
SPILL-0049,2023-05-27,Obio/Akpor,Community23,NDPR,Sabotage,184.58,In-Progress,,
SPILL-0050,2023-05-30,Ikwerre,Community31,SPDC,Sabotage,33.74,Remediated,2023-07-21,52.0
SPILL-0051,2023-06-03,Abua/Odual,Community30,NDPR,Operational Error,64.17,Remediated,2023-08-11,69.0
SPILL-0052,2023-06-06,Khana,Community42,NDPR,Equipment Failure,85.98,Remediated,2023-08-02,57.0
SPILL-0053,2023-06-09,Degema,Community35,NDPR,Sabotage,63.37,Remediated,2023-08-31,83.0
SPILL-0054,2023-06-12,Oyigbo,Community7,TotalEnegies,Equipment Failure,38.29,Closed,2023-08-28,77.0
SPILL-0055,2023-06-15,Abua/Odual,Community16,ExxonMobil,Corrosion,32.37,Remediated,2023-07-04,19.0
SPILL-0056,2023-06-18,Okrika,Community26,NAOC,Operational Error,91.19,Closed,2023-08-10,53.0
SPILL-0057,2023-06-21,Akuku-Toru,Community48,TotalEnegies,Sabotage,11.48,Closed,2023-09-01,72.0
SPILL-0058,2023-06-24,Ahoada West,Community49,NDPR,Sabotage,172.09,Closed,2023-07-10,16.0
SPILL-0059,2023-06-27,Eleme,Community2,SPDC,Sabotage,62.06,Remediated,2023-08-29,63.0
SPILL-0060,2023-06-30,Ogba/Egbema/Ndoni,Community1,NDPR,Sabotage,11.13,Closed,2023-08-10,41.0
SPILL-0061,2023-07-03,Oyigbo,Community48,ExxonMobil,Sabotage,66.64,Closed,2023-09-06,65.0
SPILL-0062,2023-07-06,Eleme,Community12,NDPR,Equipment Failure,37.73,Closed,2023-08-22,47.0
SPILL-0063,2023-07-09,Obio/Akpor,Community5,SPDC,Sabotage,61.42,In-Progress,,
SPILL-0064,2023-07-12,Gokana,Community37,ExxonMobil,Sabotage,73.0,Remediated,2023-08-24,43.0
SPILL-0065,2023-07-15,Omuma,Community32,NDPR,Sabotage,4.57,Remediated,2023-09-13,60.0
SPILL-0066,2023-07-18,Andoni,Community9,ExxonMobil,Sabotage,35.27,Reported,,
SPILL-0067,2023-07-21,Eleme,Community41,NAOC,Sabotage,134.42,Remediated,2023-09-09,50.0
SPILL-0068,2023-07-25,Omuma,Community35,NAOC,Sabotage,19.33,Closed,2023-08-09,15.0
SPILL-0069,2023-07-28,Ogba/Egbema/Ndoni,Community19,NDPR,Sabotage,45.06,Closed,2023-10-02,66.0
SPILL-0070,2023-07-31,Degema,Community48,ExxonMobil,Sabotage,23.04,In-Progress,,
SPILL-0071,2023-08-03,Obio/Akpor,Community16,SPDC,Sabotage,30.28,Closed,2023-09-01,29.0
SPILL-0072,2023-08-06,Andoni,Community3,NDPR,Equipment Failure,39.77,Remediated,2023-10-20,75.0
SPILL-0073,2023-08-09,Eleme,Community20,NAOC,Sabotage,39.81,Closed,2023-10-04,56.0
SPILL-0074,2023-08-12,Akuku-Toru,Community24,NAOC,Sabotage,11.27,Closed,2023-08-20,8.0
SPILL-0075,2023-08-15,Ahoada East,Community33,NDPR,Sabotage,57.69,Remediated,2023-10-17,63.0
SPILL-0076,2023-08-18,Abua/Odual,Community24,ExxonMobil,Corrosion,4.6,Remediated,2023-11-02,76.0
SPILL-0077,2023-08-21,Oyigbo,Community11,NAOC,Sabotage,7.47,Closed,2023-09-14,24.0
SPILL-0078,2023-08-24,Akuku-Toru,Community49,ExxonMobil,Sabotage,0.14,Remediated,2023-10-30,67.0
SPILL-0079,2023-08-27,Ogu/Bolo,Community8,NAOC,Corrosion,6.2,Reported,,
SPILL-0080,2023-08-30,Oyigbo,Community36,NAOC,Sabotage,32.04,Closed,2023-11-16,78.0
SPILL-0081,2023-09-02,Etche,Community38,TotalEnegies,Corrosion,46.58,Remediated,2023-11-02,61.0
SPILL-0082,2023-09-05,Ahoada East,Community40,NAOC,Sabotage,79.06,Closed,2023-10-20,45.0
SPILL-0083,2023-09-08,Asari-Toru,Community20,SPDC,Sabotage,5.64,Remediated,2023-09-15,7.0
SPILL-0084,2023-09-12,Ogba/Egbema/Ndoni,Community35,NDPR,Sabotage,95.1,Closed,2023-09-22,10.0
SPILL-0085,2023-09-15,Abua/Odual,Community48,NDPR,Equipment Failure,68.52,In-Progress,,
SPILL-0086,2023-09-18,Etche,Community25,ExxonMobil,Sabotage,26.26,Closed,2023-09-27,9.0
SPILL-0087,2023-09-21,Asari-Toru,Community35,NAOC,Operational Error,135.11,Closed,2023-11-18,58.0
SPILL-0088,2023-09-24,Opobo/Nkoro,Community25,SPDC,Sabotage,235.14,In-Progress,,
SPILL-0089,2023-09-27,Abua/Odual,Community29,ExxonMobil,Equipment Failure,11.47,Remediated,2023-11-19,53.0
SPILL-0090,2023-09-30,Asari-Toru,Community18,TotalEnegies,Sabotage,23.84,Closed,2023-10-13,13.0
SPILL-0091,2023-10-03,Port Harcourt,Community46,ExxonMobil,Corrosion,130.49,Remediated,2023-10-27,24.0
SPILL-0092,2023-10-06,Khana,Community18,ExxonMobil,Sabotage,63.93,In-Progress,,
SPILL-0093,2023-10-09,Opobo/Nkoro,Community2,NAOC,Sabotage,2.46,Remediated,2023-11-17,39.0
SPILL-0094,2023-10-12,Port Harcourt,Community35,TotalEnegies,Sabotage,76.05,Remediated,2023-12-05,54.0
SPILL-0095,2023-10-15,Degema,Community16,ExxonMobil,Sabotage,88.0,Closed,2024-01-09,86.0
SPILL-0096,2023-10-18,Oyigbo,Community41,SPDC,Sabotage,69.42,Remediated,2023-12-23,66.0
SPILL-0097,2023-10-21,Bonny,Community36,SPDC,Sabotage,80.36,Remediated,2023-11-11,21.0
SPILL-0098,2023-10-24,Emuoha,Community33,NDPR,Equipment Failure,87.19,In-Progress,,
SPILL-0099,2023-10-27,Ahoada West,Community4,TotalEnegies,Sabotage,10.31,Remediated,2023-12-02,36.0
SPILL-0100,2023-10-30,Oyigbo,Community33,TotalEnegies,Equipment Failure,13.44,Remediated,2023-11-16,17.0
SPILL-0101,2023-11-03,Okrika,Community14,NDPR,Corrosion,50.22,In-Progress,,
SPILL-0102,2023-11-06,Okrika,Community21,ExxonMobil,Sabotage,119.23,Closed,2024-01-17,72.0
SPILL-0103,2023-11-09,Port Harcourt,Community48,TotalEnegies,Equipment Failure,19.0,Remediated,2023-11-27,18.0
SPILL-0104,2023-11-12,Tai,Community20,SPDC,Equipment Failure,44.37,Remediated,2023-11-27,15.0
SPILL-0105,2023-11-15,Andoni,Community8,SPDC,Sabotage,57.44,Closed,2024-01-14,60.0
SPILL-0106,2023-11-18,Khana,Community7,NAOC,Sabotage,30.07,Remediated,2024-01-28,71.0
SPILL-0107,2023-11-21,Opobo/Nkoro,Community3,TotalEnegies,Sabotage,62.55,Closed,2023-12-24,33.0
SPILL-0108,2023-11-24,Khana,Community17,ExxonMobil,Sabotage,114.96,Remediated,2023-12-07,13.0
SPILL-0109,2023-11-27,Opobo/Nkoro,Community33,NDPR,Sabotage,48.92,Reported,,
SPILL-0110,2023-11-30,Oyigbo,Community48,NDPR,Sabotage,38.8,Remediated,2023-12-29,29.0
SPILL-0111,2023-12-03,Degema,Community12,ExxonMobil,Corrosion,28.88,Remediated,2024-02-21,80.0
SPILL-0112,2023-12-06,Obio/Akpor,Community22,NAOC,Equipment Failure,43.08,Closed,2024-01-21,46.0
SPILL-0113,2023-12-09,Port Harcourt,Community22,NDPR,Sabotage,21.95,In-Progress,,
SPILL-0114,2023-12-12,Ahoada East,Community46,TotalEnegies,Sabotage,24.84,In-Progress,,
SPILL-0115,2023-12-15,Ogu/Bolo,Community30,NAOC,Sabotage,37.95,In-Progress,,
SPILL-0116,2023-12-18,Ogu/Bolo,Community38,TotalEnegies,Sabotage,3.45,In-Progress,,
SPILL-0117,2023-12-21,Tai,Community38,SPDC,Sabotage,13.0,Closed,2023-12-30,9.0
SPILL-0118,2023-12-25,Okrika,Community45,NAOC,Corrosion,39.14,In-Progress,,
SPILL-0119,2023-12-28,Degema,Community8,NDPR,Sabotage,28.24,Remediated,2024-02-29,63.0
SPILL-0120,2023-12-31,Oyigbo,Community27,NAOC,Corrosion,20.23,Remediated,2024-03-23,83.0
SPILL-0121,2024-01-03,Omuma,Community27,NAOC,Operational Error,65.57,Remediated,2024-02-14,42.0
SPILL-0122,2024-01-06,Okrika,Community34,NAOC,Sabotage,59.16,Closed,2024-03-22,76.0
SPILL-0123,2024-01-09,Port Harcourt,Community21,NAOC,Equipment Failure,9.12,Remediated,2024-01-18,9.0
SPILL-0124,2024-01-12,Okrika,Community30,TotalEnegies,Sabotage,105.45,Closed,2024-03-04,52.0
SPILL-0125,2024-01-15,Tai,Community33,SPDC,Sabotage,34.2,Remediated,2024-02-06,22.0
SPILL-0126,2024-01-18,Abua/Odual,Community28,ExxonMobil,Sabotage,67.64,Remediated,2024-04-01,74.0
SPILL-0127,2024-01-21,Akuku-Toru,Community47,NAOC,Equipment Failure,42.57,Closed,2024-03-02,41.0
SPILL-0128,2024-01-24,Okrika,Community33,NDPR,Equipment Failure,303.58,In-Progress,,
SPILL-0129,2024-01-27,Port Harcourt,Community5,NAOC,Corrosion,69.8,Reported,,
SPILL-0130,2024-01-30,Tai,Community48,NDPR,Corrosion,61.38,Closed,2024-04-20,81.0
SPILL-0131,2024-02-02,Ogu/Bolo,Community19,TotalEnegies,Equipment Failure,75.38,Reported,,
SPILL-0132,2024-02-05,Akuku-Toru,Community4,NDPR,Operational Error,7.72,Closed,2024-04-18,73.0
SPILL-0133,2024-02-08,Khana,Community35,ExxonMobil,Equipment Failure,11.44,Remediated,2024-04-29,81.0
SPILL-0134,2024-02-12,Opobo/Nkoro,Community49,SPDC,Equipment Failure,62.6,Closed,2024-05-07,85.0
SPILL-0135,2024-02-15,Abua/Odual,Community17,NDPR,Sabotage,34.06,Closed,2024-03-30,44.0
SPILL-0136,2024-02-18,Abua/Odual,Community44,NDPR,Sabotage,70.25,Remediated,2024-04-07,49.0
SPILL-0137,2024-02-21,Andoni,Community28,SPDC,Equipment Failure,5.43,Closed,2024-04-27,66.0
SPILL-0138,2024-02-24,Asari-Toru,Community30,ExxonMobil,Sabotage,38.45,Remediated,2024-04-26,62.0
SPILL-0139,2024-02-27,Emuoha,Community29,NAOC,Sabotage,23.81,Closed,2024-05-08,71.0
SPILL-0140,2024-03-01,Khana,Community46,NDPR,Corrosion,30.53,In-Progress,,
SPILL-0141,2024-03-04,Ahoada West,Community6,SPDC,Sabotage,46.31,Remediated,2024-04-17,44.0
SPILL-0142,2024-03-07,Ikwerre,Community35,TotalEnegies,Sabotage,34.89,In-Progress,,
SPILL-0143,2024-03-10,Eleme,Community41,SPDC,Equipment Failure,38.81,Remediated,2024-05-30,81.0
SPILL-0144,2024-03-13,Tai,Community37,TotalEnegies,Equipment Failure,33.31,In-Progress,,
SPILL-0145,2024-03-16,Ogu/Bolo,Community24,ExxonMobil,Sabotage,26.29,Closed,2024-03-26,10.0
SPILL-0146,2024-03-19,Khana,Community29,NAOC,Corrosion,73.89,Closed,2024-04-11,23.0
SPILL-0147,2024-03-22,Asari-Toru,Community49,SPDC,Equipment Failure,0.61,Closed,2024-06-14,84.0
SPILL-0148,2024-03-25,Abua/Odual,Community46,NDPR,Sabotage,45.62,In-Progress,,
SPILL-0149,2024-03-28,Bonny,Community31,ExxonMobil,Sabotage,41.68,Remediated,2024-05-30,63.0
SPILL-0150,2024-03-31,Eleme,Community35,SPDC,Equipment Failure,62.97,Remediated,2024-06-02,63.0
SPILL-0151,2024-04-04,Asari-Toru,Community33,NDPR,Sabotage,45.69,Remediated,2024-05-26,52.0
SPILL-0152,2024-04-07,Khana,Community21,SPDC,Sabotage,87.67,Remediated,2024-05-22,45.0
SPILL-0153,2024-04-10,Emuoha,Community32,TotalEnegies,Sabotage,159.8,Remediated,2024-04-27,17.0
SPILL-0154,2024-04-13,Omuma,Community23,SPDC,Sabotage,20.97,Closed,2024-06-01,49.0
SPILL-0155,2024-04-16,Obio/Akpor,Community33,SPDC,Sabotage,12.9,Remediated,2024-06-12,57.0
SPILL-0156,2024-04-19,Andoni,Community3,SPDC,Sabotage,27.55,Remediated,2024-06-04,46.0
SPILL-0157,2024-04-22,Asari-Toru,Community18,ExxonMobil,Sabotage,16.98,Reported,,
SPILL-0158,2024-04-25,Etche,Community25,SPDC,Sabotage,47.72,Reported,,
SPILL-0159,2024-04-28,Gokana,Community42,NDPR,Equipment Failure,121.44,Reported,,
SPILL-0160,2024-05-01,Degema,Community31,TotalEnegies,Sabotage,7.49,Closed,2024-07-04,64.0
SPILL-0161,2024-05-04,Degema,Community3,TotalEnegies,Equipment Failure,5.31,Reported,,
SPILL-0162,2024-05-07,Ikwerre,Community40,SPDC,Sabotage,14.79,In-Progress,,
SPILL-0163,2024-05-10,Bonny,Community46,ExxonMobil,Corrosion,64.75,Remediated,2024-06-28,49.0
SPILL-0164,2024-05-13,Ogu/Bolo,Community24,ExxonMobil,Sabotage,44.94,Closed,2024-07-14,62.0
SPILL-0165,2024-05-16,Khana,Community32,NDPR,Operational Error,5.39,Closed,2024-06-20,35.0
SPILL-0166,2024-05-19,Port Harcourt,Community47,SPDC,Equipment Failure,125.51,Closed,2024-06-15,27.0
SPILL-0167,2024-05-23,Port Harcourt,Community22,TotalEnegies,Sabotage,78.05,Remediated,2024-07-08,46.0
SPILL-0168,2024-05-26,Ikwerre,Community23,ExxonMobil,Corrosion,1.16,Remediated,2024-06-09,14.0
SPILL-0169,2024-05-29,Asari-Toru,Community2,SPDC,Sabotage,52.69,Reported,,
SPILL-0170,2024-06-01,Opobo/Nkoro,Community27,ExxonMobil,Sabotage,73.76,Closed,2024-07-28,57.0
SPILL-0171,2024-06-04,Okrika,Community42,ExxonMobil,Sabotage,23.46,Closed,2024-07-08,34.0
SPILL-0172,2024-06-07,Khana,Community2,TotalEnegies,Sabotage,3.57,Remediated,2024-07-20,43.0
SPILL-0173,2024-06-10,Gokana,Community26,NAOC,Sabotage,4.02,Closed,2024-07-15,35.0
SPILL-0174,2024-06-13,Oyigbo,Community17,NDPR,Sabotage,5.5,Closed,2024-09-07,86.0
SPILL-0175,2024-06-16,Opobo/Nkoro,Community40,NDPR,Corrosion,91.77,Remediated,2024-06-22,6.0
SPILL-0176,2024-06-19,Tai,Community33,TotalEnegies,Sabotage,120.78,Closed,2024-09-09,82.0
SPILL-0177,2024-06-22,Port Harcourt,Community9,ExxonMobil,Sabotage,6.55,Closed,2024-09-11,81.0
SPILL-0178,2024-06-25,Emuoha,Community43,SPDC,Sabotage,13.45,Remediated,2024-07-11,16.0
SPILL-0179,2024-06-28,Andoni,Community48,ExxonMobil,Sabotage,9.05,Remediated,2024-08-10,43.0
SPILL-0180,2024-07-01,Degema,Community39,TotalEnegies,Sabotage,10.31,Reported,,
SPILL-0181,2024-07-04,Abua/Odual,Community29,NDPR,Equipment Failure,90.85,Remediated,2024-07-21,17.0
SPILL-0182,2024-07-07,Omuma,Community42,ExxonMobil,Sabotage,20.18,Reported,,
SPILL-0183,2024-07-10,Opobo/Nkoro,Community26,NDPR,Sabotage,18.66,Remediated,2024-08-10,31.0
SPILL-0184,2024-07-14,Ikwerre,Community35,SPDC,Sabotage,12.9,Closed,2024-08-04,21.0
SPILL-0185,2024-07-17,Ahoada West,Community25,NDPR,Sabotage,46.81,Remediated,2024-09-19,64.0
SPILL-0186,2024-07-20,Ahoada West,Community24,NDPR,Corrosion,23.85,Remediated,2024-09-26,68.0
SPILL-0187,2024-07-23,Ikwerre,Community13,NAOC,Sabotage,68.18,Remediated,2024-08-31,39.0
SPILL-0188,2024-07-26,Degema,Community7,NAOC,Sabotage,11.51,In-Progress,,
SPILL-0189,2024-07-29,Khana,Community36,NAOC,Operational Error,77.51,Closed,2024-10-24,87.0
SPILL-0190,2024-08-01,Obio/Akpor,Community45,NDPR,Sabotage,46.28,In-Progress,,
SPILL-0191,2024-08-04,Okrika,Community20,TotalEnegies,Corrosion,6.07,In-Progress,,
SPILL-0192,2024-08-07,Ahoada West,Community1,NDPR,Sabotage,26.76,Remediated,2024-10-24,78.0
SPILL-0193,2024-08-10,Tai,Community8,TotalEnegies,Equipment Failure,99.58,Closed,2024-10-16,67.0
SPILL-0194,2024-08-13,Ahoada West,Community46,TotalEnegies,Sabotage,128.17,Closed,2024-09-14,32.0
SPILL-0195,2024-08-16,Ahoada West,Community16,NAOC,Equipment Failure,31.34,Reported,,
SPILL-0196,2024-08-19,Ahoada West,Community14,ExxonMobil,Sabotage,32.78,Remediated,2024-11-10,83.0
SPILL-0197,2024-08-22,Obio/Akpor,Community12,SPDC,Sabotage,125.33,Remediated,2024-10-02,41.0
SPILL-0198,2024-08-25,Obio/Akpor,Community23,NAOC,Sabotage,44.22,Remediated,2024-09-20,26.0
SPILL-0199,2024-08-28,Omuma,Community15,NAOC,Equipment Failure,1.67,Remediated,2024-11-08,72.0
SPILL-0200,2024-09-01,Ogu/Bolo,Community28,ExxonMobil,Corrosion,121.95,Remediated,2024-09-25,24.0
